"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C24,C13,C23,C25,C22,C21,C20";"C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal";7;"100n";;;
2;"U2,U5,U7,U6,U3,U13";"DIP-16_W7.62mm_Socket";6;"74HC595";;;
3;"J6,J11,J8,J4,J5,J10,J12,J7,J3,J1,J9,J2";"615006138421";12;"6P6C";;;
4;"U1,U14,U15,U16,U8,U4";"DIP-18_W7.62mm_Socket";6;"ULN2803A";;;
5;"U9";"NodeMCU-32S 30 pins Ali";1;"~";;;
6;"U10";"Converter_DCDC_RECOM_R-78E-0.5_THT";1;"R-78E5.0-1.0";;;
7;"C1,C7,C3,C2,C4,C8";"CP_Radial_D5.0mm_P2.00mm";6;"10u";;;
8;"C15,C16,C17,C18,C14,C19";"C_Disc_D3.8mm_W2.6mm_P2.50mm";6;"100n";;;
9;"C11";"C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal";1;"4.7u";;;
10;"C5,C6";"CP_Radial_D12.5mm_P5.00mm";2;"1000u";;;
11;"U11";"Converter_DCDC_RECOM_R-78B-2.0_THT";1;"R-78B3.3-2.0";;;
12;"J13";"CUI_PJ-102BH";1;"PJ-102BH";;;
13;"L3";"L_Radial_D8.7mm_P5.00mm_Fastron_07HCP";1;"68u";;;
14;"L2";"L_Radial_D8.7mm_P5.00mm_Fastron_07HCP";1;"10u";;;
15;"J14";"SEEED_110990030";1;"SCD40 sensor1";;;
16;"C9";"C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal";1;"2.2u";;;
17;"D1";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N5818";;;
18;"J17,J16";"PinHeader_1x10_P2.54mm_Vertical";2;"Conn_01x10";;;
19;"C10,C12";"C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal";2;"10u";;;
20;"J15";"SEEED_110990030";1;"SCD40 sensor2";;;
